,Unnamed: 0,content,cleaned_content,score,at,thumbsUpCount,sentiment_score,final_theme
769,769,i like that app,like app,5,2020-10-25 18:04:25,0,0.0,Noise
770,770,Truly the best planning app! I was looking for a planning app with widgets that can change their size. Was harder than I thought! I love that you can see everythubg even in the smallest widget. That was very important to me. What I also like is that you can see all your tasks in a time line sorted by time. This way I don't miss anything. Subtasks and notes are helpful. I like the separate feature for the shopping list! This app is super flexible and intuitive!,truly best planning app looking planning app widgets change size harder thought love see everythubg even smallest widget important also like see tasks time line sorted time way dont miss anything subtasks notes helpful like separate feature shopping list app super flexible intuitive,5,2020-10-25 13:28:49,24,0.4266666666666666,Monetization Sentiment
771,771,মোবাইল নাম্বার সেটিং অ্যাপ,,5,2020-10-25 12:13:59,0,0.0,Noise
772,772,Love it! Has been super helpful in getting me more focused ans organized. Super easy to use and love the reminders!,love super helpful getting focused ans organized super easy use love reminders,5,2020-10-25 04:42:22,0,0.4199999999999999,Efficiency
773,773,It is exactly what I wanted....👌,exactly wanted,5,2020-10-25 02:46:27,0,0.25,Efficiency
774,774,عالیه,,5,2020-10-24 18:15:46,0,0.0,Noise
775,775,Very nice,nice,5,2020-10-24 17:54:42,0,0.6,Low Signal
776,776,Excellent app. I like the design and it helps in making things done on time. The integration with many other apps has played major role in my daily life. I personally use the whatsapp integration feature. Thank you for the creativity.,excellent app like design helps making things done time integration many apps played major role daily life personally use whatsapp integration feature thank creativity,5,2020-10-24 16:17:37,0,0.3125,Market Displacement
777,777,Very Good,good,5,2020-10-24 15:21:25,0,0.7,Low Signal
778,778,Best reminder ever,best reminder ever,5,2020-10-24 05:56:38,0,1.0,Efficiency
779,779,good apps,good apps,5,2020-10-24 00:27:45,0,0.7,Low Signal
780,780,great and useful,great useful,5,2020-10-23 23:58:33,0,0.55,Efficiency
781,781,I loved it.,loved,5,2020-10-23 22:48:35,0,0.7,Low Signal
782,782,Likes it very much,likes much,5,2020-10-23 20:10:05,0,0.2,Noise
783,783,I began using this app 18months ago after having a baby and feeling that i was never feeling organised. It has been a game changer in helping me schedual all of the little things and keeping me on track,began using app months ago baby feeling never feeling organised game changer helping schedual little things keeping track,5,2020-10-23 13:04:34,0,-0.29375,Retention Drivers
784,784,"What i love a most is integration with whatsapp, feels like have a private secretary.",love integration whatsapp feels like private secretary,5,2020-10-23 10:52:47,0,0.25,Low Signal
785,785,Spr remainder,spr remainder,5,2020-10-23 10:23:51,0,0.0,Noise
786,786,Very useful aap. I am satisfied,useful aap satisfied,5,2020-10-23 06:38:37,0,0.4,Efficiency
787,787,Thanks a lot for the reply! It's working great again like before!! 😄😄 (Small suggestion: maybe make this fact more obvious from the app UI or provide sort order as an option for the widget 😀) Thanks again!,thanks lot reply working great like small suggestion maybe make fact obvious app ui provide sort order option widget thanks,5,2020-10-22 22:53:06,3,0.19,Monetization Sentiment
788,788,It's awesome. I've tried some other apps but didn't find as much productive as it.,awesome ive tried apps didnt find much productive,5,2020-10-22 21:20:21,0,0.6,Market Displacement
789,789,ok,ok,5,2020-10-22 15:08:22,0,0.5,Noise
790,790,"Truly amazing. One of the apps that I kept installing even after switching phones. Really helps me to organise my day better. LOVED the interface too, smooth and professional",truly amazing one apps kept installing even switching phones really helps organise day better loved interface smooth professional,5,2020-10-22 05:05:33,0,0.4166666666666667,Monetization Sentiment
791,791,Very useful app. Thanks to the developers!,useful app thanks developers,5,2020-10-22 04:28:07,0,0.25,Efficiency
792,792,Great To do App,great app,5,2020-10-22 00:40:51,0,0.8,Low Signal
793,793,Encourages me to do more!,encourages,5,2020-10-21 23:33:41,0,0.0,Efficiency
794,794,Love this app. Used it for years!,love app used years,5,2020-10-21 21:24:32,0,0.5,Retention Drivers
795,795,Amazing app! Just one suggestion please please add feature of setting time in subtasks as well. It would be a really great feature making the app more wholesale!!,amazing app one suggestion please please add feature setting time subtasks well would really great feature making app wholesale,5,2020-10-21 17:18:31,0,0.7000000000000001,Monetization Sentiment
796,796,"Been using it for years and planning everything in this app - from work to home payments. As a premium user I really enjoy the lightning fast support, which solves the rare issue that might occur. Five stars!",using years planning everything app work home payments premium user really enjoy lightning fast support solves rare issue might occur five stars,5,2020-10-21 12:37:33,5,0.3,Monetization Sentiment
797,797,This app is great! I'm able to use an online scheduling tool without having to pay for a subscription. Helps me stay on task at work.,app great im able use online scheduling tool without pay subscription helps stay task work,5,2020-10-21 09:22:29,0,0.65,Monetization Sentiment
798,798,This app gets better all the time. I'd be lost without it... And so easy to use!!,app gets better time id lost without easy use,5,2020-10-20 22:55:27,0,0.4666666666666667,Efficiency
799,799,Awesome app the best,awesome app best,5,2020-10-20 22:18:45,0,1.0,Low Signal
800,800,My personal secretary,personal secretary,5,2020-10-20 19:20:13,0,0.0,Noise
801,801,Good,good,5,2020-10-20 16:35:45,0,0.7,Low Signal
802,802,amazing,amazing,5,2020-10-20 14:29:04,0,0.6000000000000001,Low Signal
803,803,Very very helpful and easy to use as well. 'Must Have' app.👍👍,helpful easy use well must app,5,2020-10-20 11:24:34,0,0.4333333333333333,Efficiency
804,804,Write down something on your mind and come back to it later - life saver - store all my thoughts and important revelations in the app to be worked on later,write something mind come back later life saver store thoughts important revelations app worked later,5,2020-10-20 11:12:45,0,0.1,Efficiency
805,805,New to it but I think it's going to make my life easier,new think going make life easier,5,2020-10-20 02:46:38,0,0.1363636363636363,Monetization Sentiment
806,806,Farhan Myao 💔,farhan myao,5,2020-10-20 01:29:59,0,0.0,Noise
807,807,Superb 😍,superb,5,2020-10-19 23:52:38,0,1.0,Noise
808,808,"Use this app every day. The only problem is that when you place an item to do in a specific place on a specific day, the item jumps to the top of the day or to the bottom of the list by itself and you have to re-place it.",use app every day problem place item specific place specific day item jumps top day bottom list replace,5,2020-10-19 19:29:50,0,0.1666666666666666,Monetization Sentiment
809,809,Nice app,nice app,5,2020-10-19 15:41:40,0,0.6,Low Signal
810,810,"IT'S AMAZING,IT HELPS ME BE MORE ORGANISED",amazingit helps organised,5,2020-10-19 12:47:15,0,0.0,Efficiency
811,811,This is awesome,awesome,5,2020-10-19 07:33:09,0,1.0,Low Signal
812,812,Helps very well with work.,helps well work,5,2020-10-19 00:46:18,0,0.0,Efficiency
813,813,Best app keep it up,best app keep,5,2020-10-19 00:33:04,0,1.0,Low Signal
814,814,I loving this app. It's make me a better people,loving app make better people,5,2020-10-18 23:56:42,0,0.55,Efficiency
815,815,"Started using this app in 2014. Still a great app. Of course, the paid version has more features but the basic version is quite useful.",started using app still great app course paid version features basic version quite useful,5,2020-10-18 16:59:46,0,0.3666666666666667,Monetization Sentiment
816,816,Like this apps,like apps,5,2020-10-18 16:43:36,0,0.0,Noise
817,817,Love this app it has everything I need and I now remember what I need to do,love app everything need remember need,5,2020-10-18 06:43:41,0,0.5,Low Signal
818,818,Very good app,good app,5,2020-10-18 00:45:47,0,0.7,Low Signal
819,819,"Very useful. I think it's best for a day-to-day use, but I'm particularly impressed with the grocery list function period really dig it! And it's really cool that it sinks with my calendar!",useful think best daytoday use im particularly impressed grocery list function period really dig really cool sinks calendar,5,2020-10-17 22:26:27,1,0.4583333333333333,Retention Drivers
820,820,"Wonderful App !! Thanks, Any.Do Team.",wonderful app thanks anydo team,5,2020-10-17 16:25:48,0,0.6,Noise
821,821,"This app my 📱 phone number and used google account number and my all oldest play games with real money and Olympic tired my add all miss and hack accounts add loss money and my all 3 years use number usbGoogle Play Store activities add a""hithis list, not sear in this app use other people birdseed.",app phone number used google account number oldest play games real money olympic tired add miss hack accounts add loss money years use number usbgoogle play store activities add ahithis list sear app use people birdseed,5,2020-10-17 06:31:56,0,-0.1,Retention Drivers
822,822,😉✌,,5,2020-10-17 04:43:46,0,0.0,Noise
823,823,Usefull app,usefull app,5,2020-10-16 22:54:03,0,0.0,Efficiency
824,824,Past edits,past edits,5,2020-10-16 20:50:58,0,-0.25,Monetization Sentiment
825,825,This has been invaluable for our work projects and is easy to use,invaluable work projects easy use,5,2020-10-16 17:48:33,0,0.4333333333333333,Monetization Sentiment
826,826,This app is so perfect. I love how the widget works.,app perfect love widget works,5,2020-10-16 16:16:21,0,0.75,User Archetypes & Workflows
827,827,Becoming more efficient after I start using this app. No longer miss any task.,becoming efficient start using app longer miss task,5,2020-10-16 13:09:23,0,0.45,Noise
828,828,Must install great app manges your plan your at an instant and in super organised manner with reminder which is great for it has great features of managing your time for your task,must install great app manges plan instant super organised manner reminder great great features managing time task,5,2020-10-16 12:59:15,0,0.5466666666666666,Efficiency
829,829,Works pretty good. Easy to use.,works pretty good easy use,5,2020-10-16 12:21:29,0,0.4611111111111111,User Archetypes & Workflows
830,830,outstanding performance,outstanding performance,5,2020-10-16 00:32:57,0,0.5,Noise
831,831,It's a good app for organising your day,good app organising day,5,2020-10-15 21:35:09,0,0.7,Retention Drivers
832,832,My experience is good so far.,experience good far,5,2020-10-15 19:48:38,0,0.3999999999999999,Low Signal
833,833,Nicely Arranged Everything,nicely arranged everything,5,2020-10-15 15:56:58,0,0.6,Low Signal
834,834,Love this app! My go to for organization,love app go organization,5,2020-10-15 12:51:31,0,0.5,Low Signal
835,835,"Very useful in helping my work organized, Love it!!",useful helping work organized love,5,2020-10-15 09:00:13,0,0.4,Efficiency
836,836,Awesome trip organization,awesome trip organization,5,2020-10-15 08:55:44,0,1.0,Low Signal
837,837,"Though I had a hard time learning this app at first because I don't know the buttons to tap, but it won't take you long learning that buttons! I can manage my tasks on school properly na!",though hard time learning app first dont know buttons tap wont take long learning buttons manage tasks school properly na,5,2020-10-15 07:43:04,0,-0.0229166666666666,Monetization Sentiment
838,838,I live it,live,5,2020-10-15 06:23:29,0,0.1363636363636363,Noise
839,839,Good,good,5,2020-10-15 04:08:26,1,0.7,Low Signal
840,840,Forget everything and enjoy the life. Any.do will ensure you don't forget anything. It's really an excellent app to manage your everyday task so that you should not miss anything from your 'To Do' list. It's quite helpful in every day life. Thanks a lot.,forget everything enjoy life anydo ensure dont forget anything really excellent app manage everyday task miss anything list quite helpful every day life thanks lot,5,2020-10-14 22:58:57,0,0.35,Retention Drivers
841,841,Great to keep important things in front of me for a busy schedule. Love the option for when you can set each reminder for.,great keep important things front busy schedule love option set reminder,5,2020-10-14 20:49:03,0,0.45,Efficiency
842,842,Cheap paid version... covers all u need to maintain a todo list,cheap paid version covers u need maintain todo list,5,2020-10-14 13:42:52,1,0.4,Monetization Sentiment
843,843,Good remind me to check,good remind check,5,2020-10-14 07:10:40,0,0.7,Low Signal
844,844,rathergood,rathergood,5,2020-10-14 06:17:13,0,0.0,Low Signal
845,845,Good,good,5,2020-10-13 19:21:23,0,0.7,Low Signal
846,846,"Excellent customer service and very reasonable staff. They tried to reach me within a week, their responses were very clear and not once did they blame me for any issues I had run into. Overall, a great experience. The app itself is nice as a To-Do list or to organize your numerous tasks by due date, categories as well as location.",excellent customer service reasonable staff tried reach within week responses clear blame issues run overall great experience app nice todo list organize numerous tasks due date categories well location,5,2020-10-13 13:52:12,282,0.321875,Monetization Sentiment
847,847,The 1st October update has an issue in widget. The repeated tasks remain on top despite you mark then done for today.,st october update issue widget repeated tasks remain top despite mark done today,5,2020-10-13 08:36:58,0,0.5,Monetization Sentiment
848,848,"I love this app, and I can't start my day without it, but lately with the new updates I got lost with my tasks list the feature of having today tomorrow and upcoming tasks had been gone which is not good at all. I stopped using the app actually I hope the management of this app will look into this issue and fix it otherwise I will need to look for another app",love app cant start day without lately new updates got lost tasks list feature today tomorrow upcoming tasks gone good stopped using app actually hope management app look issue fix otherwise need look another app,5,2020-10-13 00:36:23,3,0.3340909090909091,Monetization Sentiment
849,849,👍,,5,2020-10-12 16:45:03,1,0.0,Noise
850,850,Intuitive and motivating way of zooming through your task lists!,intuitive motivating way zooming task lists,5,2020-10-12 16:03:31,0,0.0,User Archetypes & Workflows
851,851,The best.Pop up reminder is useful as it constantly pops up at the specified time and you can't avoid it until you reset the time and date.This is useful.,bestpop reminder useful constantly pops specified time cant avoid reset time datethis useful,5,2020-10-12 15:28:25,0,0.1999999999999999,Efficiency
852,852,Class,class,5,2020-10-12 13:31:24,0,0.0,Noise
853,853,Best app I have found,best app found,5,2020-10-12 10:51:18,0,1.0,Low Signal
854,854,"Good, and the most important thing: it's free to use and the basic feature is more than enough for me Been using this for 3 years+, keep it up!",good important thing free use basic feature enough using years keep,5,2020-10-12 02:44:00,3,0.3,Retention Drivers
855,855,"I love this app, it really helps me manage everything in my life.",love app really helps manage everything life,5,2020-10-12 01:32:11,0,0.35,Efficiency
856,856,Good app,good app,5,2020-10-12 01:18:13,0,0.7,Low Signal
857,857,Nice,nice,5,2020-10-11 22:41:47,0,0.6,Low Signal
858,858,Nice easy way to track tasks in different parts of your life.,nice easy way track tasks different parts life,5,2020-10-11 18:11:08,0,0.3444444444444444,Monetization Sentiment
859,859,It is absolutely the best tool,absolutely best tool,5,2020-10-11 17:52:33,0,1.0,Low Signal
860,860,Excellent,excellent,5,2020-10-11 15:09:20,1,1.0,Low Signal
861,861,"Only thing that could make this better and maybe I'm just too dumb to figure out, lol, how to make it work.is if as long as the apps open you could just talk into your phone and say like task/ event instead of having to stop and type it you know but that's my two cents I still love it thank you",thing could make better maybe im dumb figure lol make workis long apps open could talk phone say like task event instead stop type know thats two cents still love thank,5,2020-10-11 14:06:10,0,0.2291666666666666,Monetization Sentiment
862,862,Good,good,5,2020-10-11 09:54:28,1,0.7,Low Signal
863,863,So far so good I just download this to help my husband be more organized.,far good download help husband organized,5,2020-10-11 06:47:55,0,0.3999999999999999,Efficiency
864,864,"I like this app for the most part. Loads of different plugins however if you want to change the date for your reminder from the default date, it takes 7 taps! SEVEN! That is not great UX and needs to improve. I miss the Wunderlist style smart date adding. Update: The new smart date feature makes this a 5 star app for me!",like app part loads different plugins however want change date reminder default date takes taps seven great ux needs improve miss wunderlist style smart date adding update new smart date feature makes star app,5,2020-10-10 19:11:41,6,0.2729870129870129,Monetization Sentiment
865,865,"New navigation is far less convenient than the pre update there should be an option to revert it. Update: Thanks for listening, updated to 5 star for the reply",new navigation far less convenient pre update option revert update thanks listening updated star reply,5,2020-10-10 17:51:54,0,0.0674242424242424,Monetization Sentiment
866,866,Good,good,5,2020-10-10 15:06:53,0,0.7,Low Signal
867,867,Just do it,,5,2020-10-10 13:52:41,0,0.0,Noise
868,868,Great app,great app,5,2020-10-10 09:24:23,0,0.8,Low Signal
869,869,The best app ever...worth my money for subscribing.. Cause I'm a student and it's really help me to manage my day,best app everworth money subscribing cause im student really help manage day,5,2020-10-09 21:23:08,0,0.6,Retention Drivers
870,870,"I adore this app. For an absent-minded-professor type like myself, having everything I need to stay on track and show up all together in one place that can be accessed across platforms is an absolute lifesaver. The UI is really well designed as well. Highly recommend.",adore app absentmindedprofessor type like everything need stay track show together one place accessed across platforms absolute lifesaver ui really well designed well highly recommend,5,2020-10-09 19:55:46,6,0.1866666666666666,Monetization Sentiment
871,871,Excellent App! Especially for focused practise!,excellent app especially focused practise,5,2020-10-09 00:04:26,0,0.5,Efficiency
872,872,Awesome app,awesome app,5,2020-10-08 19:39:59,0,1.0,Low Signal
873,873,Great update...,great update,5,2020-10-08 19:16:16,0,0.8,Low Signal
874,874,2012 REVIEW: Been looking for a simple to do app with drag and drop and this is the best.,review looking simple app drag drop best,5,2020-10-07 17:05:58,0,0.3,Product Usability & Aesthetics
875,875,Very good! Superb app,good superb app,5,2020-10-07 11:28:28,0,0.85,Low Signal
876,876,Thanks for your help! 😊 If I may I would suggest that you work on newly added tasks - it would be much more convenient if they didn't end at the bottom of the list. Thank you in advance.,thanks help may would suggest work newly added tasks would much convenient didnt end bottom list thank advance,5,2020-10-06 22:40:04,2,0.1787878787878788,Monetization Sentiment
877,877,Good,good,5,2020-10-06 20:05:54,0,0.7,Low Signal
878,878,Amazing,amazing,5,2020-10-06 18:32:50,0,0.6000000000000001,Low Signal
879,879,Great app,great app,5,2020-10-06 11:21:54,0,0.8,Low Signal
880,880,Op,op,5,2020-10-06 07:17:45,0,0.0,Noise
881,881,Good,good,5,2020-10-06 06:20:29,0,0.7,Low Signal
882,882,"Enjoying this app. Works offline and gives you daily reminders to help you get things from your mind into a list format and encourages you to work through them in one day, or whenever you can.",enjoying app works offline gives daily reminders help get things mind list format encourages work one day whenever,5,2020-10-06 02:04:52,0,0.25,Retention Drivers
883,883,Wonderful application,wonderful application,5,2020-10-06 00:46:03,0,1.0,Noise
884,884,Love it! Gives me everything i need and let me do a monthly subscription so that I can have the few extras that you get with the paid version. Free or paid are worth it,love gives everything need let monthly subscription extras get paid version free paid worth,5,2020-10-05 23:30:29,2,0.3999999999999999,Monetization Sentiment
885,885,Very nice app👍,nice app,5,2020-10-05 13:17:20,0,0.6,Low Signal
886,886,Good,good,5,2020-10-05 13:11:09,0,0.7,Low Signal
887,887,Cursor missing often 😒,cursor missing often,5,2020-10-05 11:28:43,2,-0.2,Feature Requests & Friction
888,888,Goods app,goods app,5,2020-10-05 10:27:54,0,0.0,Low Signal
889,889,The best organiser at your finger tips,best organiser finger tips,5,2020-10-05 09:57:53,0,1.0,Low Signal
890,890,But I want my vip subscription today,want vip subscription today,5,2020-10-05 09:28:08,0,0.0,Monetization Sentiment
891,891,"No se por que, pero no me notifica sin sonido",se por que pero notifica sin sonido,5,2020-10-05 08:07:26,0,0.0,Noise
892,892,Good,good,5,2020-10-05 07:40:32,0,0.7,Low Signal
893,893,Good one,good one,5,2020-10-05 07:22:23,0,0.7,Low Signal
894,894,Excellent app in every way.,excellent app every way,5,2020-10-05 05:02:05,0,1.0,Low Signal
895,895,I'm loving it 😁,im loving,5,2020-10-05 04:27:24,0,0.6,Noise
896,896,I absolutely cannot live without this app. I use this everyday with my family to handle our things to do as well as plan out our schedules. The integrations with so many different applications is another aspect that makes this app a must have!,absolutely cannot live without app use everyday family handle things well plan schedules integrations many different applications another aspect makes app must,5,2020-10-05 02:13:53,3,0.1272727272727272,Retention Drivers
897,897,Love it,love,5,2020-10-04 20:17:20,0,0.5,Low Signal
898,898,Mira Boss 513+780,mira boss,5,2020-10-04 19:05:25,0,0.0,Noise
899,899,I love any do,love,5,2020-10-04 18:41:02,0,0.5,Low Signal
900,900,Good,good,5,2020-10-04 16:20:06,0,0.7,Low Signal
901,901,Good 👍👍👍👍👍👍👍👍,good,5,2020-10-04 16:19:24,0,0.7,Low Signal
902,902,#5 jsmallaadawy Tz🇹🇿,jsmallaadawy tz,5,2020-10-04 07:02:31,0,0.0,Noise
903,903,Good app to help u planning with fun,good app help u planning fun,5,2020-10-04 02:33:21,0,0.5,Efficiency
904,904,Works. Would like the focus feature to be more of a timer though,works would like focus feature timer though,5,2020-10-03 23:54:44,1,0.0,Efficiency
905,905,New calendar,new calendar,5,2020-10-03 23:03:32,0,0.1363636363636363,Monetization Sentiment
906,906,"One of ""the best helpful apps"" I've come across. 😁😁😁😁😁",one best helpful apps ive come across,5,2020-10-03 17:15:41,0,1.0,Efficiency
907,907,super task app,super task app,5,2020-10-03 16:58:21,0,0.3333333333333333,Noise
908,908,Possibly the best reminder app on the play store,possibly best reminder app play store,5,2020-10-03 15:42:12,0,1.0,Efficiency
909,909,You wont steal my information right?,wont steal information right,5,2020-10-03 14:26:49,0,0.2857142857142857,Feature Requests & Friction
910,910,Just what I needed! It's a big help for organising tasks and setting reminders when I'm at work.,needed big help organising tasks setting reminders im work,5,2020-10-03 08:57:07,2,0.0,Monetization Sentiment
911,911,Great app to record and follow up for your daily activities,great app record follow daily activities,5,2020-10-02 23:51:14,0,0.4,Retention Drivers
912,912,I really love it,really love,5,2020-10-02 23:33:42,0,0.5,Low Signal
913,913,I love this app,love app,5,2020-10-02 18:13:11,0,0.5,Low Signal
914,914,Wonderful experience in the free version itself . let's you organize your day and make it optimally productive,wonderful experience free version lets organize day make optimally productive,5,2020-10-02 15:40:49,0,0.7,Monetization Sentiment
915,915,Very good widget appearance,good widget appearance,5,2020-10-02 11:42:14,0,0.7,Low Signal
916,916,"I love the format, layout, and look of this app!",love format layout look app,5,2020-10-01 18:35:05,1,0.5,Low Signal
917,917,Good app,good app,5,2020-10-01 17:12:49,0,0.7,Low Signal
918,918,So far it's so good,far good,5,2020-10-01 16:50:37,0,0.3999999999999999,Low Signal
919,919,Awesome! So organized but simple to use! Love having it as a widget so I can see it everytime I open my phone!,awesome organized simple use love widget see everytime open phone,5,2020-10-01 15:52:49,7,0.375,Efficiency
920,920,best app,best app,5,2020-10-01 03:26:42,0,1.0,Low Signal
921,921,I really find this app helpful,really find app helpful,5,2020-10-01 02:13:07,0,0.2,Efficiency
922,922,Awesome app. I just love it. I use it every day.,awesome app love use every day,5,2020-09-30 19:01:10,1,0.75,Retention Drivers
923,923,"I wouldn't be without Any.do. Great app. I use it constantly. Sept. 30, 2020 Premium user for several years now...still love the app! I recently contacted support re getting the 'Focus' capability added to my Any.do phone app and the response was very fast and crisp. Thanks guys!",wouldnt without anydo great app use constantly sept premium user several years nowstill love app recently contacted support getting focus capability added anydo phone app response fast crisp thanks guys,5,2020-09-30 18:31:05,71,0.24375,Monetization Sentiment
924,924,"Just awesome, love the app",awesome love app,5,2020-09-30 17:14:08,0,0.75,Low Signal
925,925,"Best ever productivity tool ever used. I have used so many apps, but this app is best of all.",best ever productivity tool ever used used many apps app best,5,2020-09-30 16:33:12,0,0.8333333333333334,Market Displacement
926,926,V usefull app i love it v much I use it daily work good app world's best note app👍i m very happy with it😄,v usefull app love v much use daily work good app worlds best note appi happy,5,2020-09-30 14:10:11,0,0.5333333333333333,Retention Drivers
927,927,Good,good,5,2020-09-29 23:52:28,0,0.7,Low Signal
928,928,Love it. So much love for the developers that have done a stellar job with regards to UI and functionality!,love much love developers done stellar job regards ui functionality,5,2020-09-29 21:17:31,3,0.4166666666666667,Efficiency
929,929,Great apps,great apps,5,2020-09-29 19:22:14,0,0.8,Low Signal
930,930,Love it,love,5,2020-09-29 17:33:25,0,0.5,Low Signal
931,931,Very helpful. And easy to use love it,helpful easy use love,5,2020-09-29 14:01:46,0,0.4666666666666667,Efficiency
932,932,Awesome app,awesome app,5,2020-09-29 13:35:34,0,1.0,Low Signal
933,933,So Nice,nice,5,2020-09-29 09:22:54,0,0.6,Low Signal
934,934,Best organisation app ever,best organisation app ever,5,2020-09-29 01:17:41,0,1.0,Low Signal
935,935,Good app,good app,5,2020-09-28 14:41:08,0,0.7,Low Signal
936,936,Actually it managed my time successfully and I suggest everyone to use it it's very easy in using as well as it has too much benefits 🖤💗💖👑,actually managed time successfully suggest everyone use easy using well much benefits,5,2020-09-28 11:31:55,0,0.3458333333333333,Efficiency
937,937,"Love this app, it keep me so organized and help me keep track of my everyday activities",love app keep organized help keep track everyday activities,5,2020-09-28 06:10:20,0,0.15,Retention Drivers
938,938,"Upgraded to the paid version and really loving it. Seemless, easy and fun maneuver whilst assisting me to keep everything organised.",upgraded paid version really loving seemless easy fun maneuver whilst assisting keep everything organised,5,2020-09-28 05:16:43,5,0.4444444444444444,Monetization Sentiment
939,939,Love the shopping list integration,love shopping list integration,5,2020-09-28 04:54:32,0,0.5,User Archetypes & Workflows
940,940,Take note,take note,5,2020-09-28 04:45:22,0,0.0,Noise
941,941,Ok,ok,5,2020-09-27 13:02:54,0,0.5,Noise
942,942,Really Helpful,really helpful,5,2020-09-27 12:35:22,0,0.2,Efficiency
943,943,Useful app,useful app,5,2020-09-27 03:34:56,0,0.3,Efficiency
944,944,Rahul Nayak,rahul nayak,5,2020-09-26 23:46:35,0,0.0,Noise
945,945,This app is the best indeed,app best indeed,5,2020-09-26 23:11:32,0,1.0,Low Signal
946,946,Perfect so far 👍,perfect far,5,2020-09-26 20:54:57,0,0.55,Noise
947,947,Usefull,usefull,5,2020-09-26 11:22:34,0,0.0,Efficiency
948,948,I've used a lot of task lists and this one is my favorite. It is so flexible and I can use it for all areas in my life.,ive used lot task lists one favorite flexible use areas life,5,2020-09-26 04:46:51,0,0.5,Efficiency
949,949,Awesome,awesome,5,2020-09-26 04:10:25,1,1.0,Low Signal
1700,1700,"This app is awesome. I have a sugestion, in the app can't see the projects order by folder, will be good can see by folder",app awesome sugestion app cant see projects order folder good see folder,5,2020-10-27 09:03:44,0,0.85,Monetization Sentiment
1701,1701,This app is such high quality in its usage and visual design. It's on par with the quality you'd expect from Google.,app high quality usage visual design par quality youd expect google,5,2020-10-27 08:33:19,0,0.08,Product Usability & Aesthetics
1702,1702,"It's revolutionised the way I work as a medical student. Makes going from one task to another effortless, allows me to stick to breaks, etc",revolutionised way work medical student makes going one task another effortless allows stick breaks etc,5,2020-10-27 00:24:32,0,0.0,Monetization Sentiment
1703,1703,Awesome app. I am enjoying its simplicity and effectiveness.,awesome app enjoying simplicity effectiveness,5,2020-10-26 17:31:35,0,0.75,Low Signal
1704,1704,"Simply brilliant, they put a lot of effort into a quick and smooth user interface (keyboard shortcuts, keywords, date detection) that allow me to implement GTD (almost ;) ) at the speed of my thoughts. Keep up the excellent work!",simply brilliant put lot effort quick smooth user interface keyboard shortcuts keywords date detection allow implement gtd almost speed thoughts keep excellent work,5,2020-10-26 17:16:07,0,0.6583333333333333,Monetization Sentiment
1705,1705,Very good!!!,good,5,2020-10-25 20:38:25,0,0.7,Low Signal
1706,1706,This app is one of the coolest app,app one coolest app,5,2020-10-25 14:10:12,0,0.0,Noise
